Document 1,Document 2,Similarity %,Plagiarism Suspected
1.txt,2.txt,23.83,False
1.txt,3.txt,100.0,True
1.txt,data.txt,0.0,False
1.txt,receipt-ESE.BD-39__3ALINFO11-Quizz_1.txt,0.0,False
1.txt,script.txt,0.0,False
2.txt,3.txt,23.83,False
2.txt,data.txt,0.0,False
2.txt,receipt-ESE.BD-39__3ALINFO11-Quizz_1.txt,0.0,False
2.txt,script.txt,0.0,False
3.txt,data.txt,0.0,False
3.txt,receipt-ESE.BD-39__3ALINFO11-Quizz_1.txt,0.0,False
3.txt,script.txt,0.0,False
data.txt,receipt-ESE.BD-39__3ALINFO11-Quizz_1.txt,0.39,False
data.txt,script.txt,0.71,False
receipt-ESE.BD-39__3ALINFO11-Quizz_1.txt,script.txt,1.97,False
